\tyYou gain %s skill experience!\t0\r\n;\tyВы продвинулись в изучении умения '%s'!\t0\r\n
\tyYou receive %s!\t0\r\n;\tyВы получили %s!\t0\r\n
\tyYour %s is now level %d!\t0\r\n;\tyВаш %s теперь имеет уровень %d!\t0\r\n
&%cYour %s cooldown has ended.&0\r\n;&%cВаша задержка %s закончилась.&0\r\n
&c[%d %s] %s (online)&0\r\n;&c[%d %s] %s (онлайн)&0\r\n
&gКогда вы заканчиваете петь, вы начинаете видеть переплетение маны через природу ...&0\r\n;&gКогда вы заканчиваете петь, вы начинаете видеть переплетение маны через природу ...&0\r\n
&r[%d %s] %s (not on account)&0\r\n;&r[%d %s] %s (not on account)&0\r\n
&rYou wish that your wounds would stop BLEEDING so much!&0\r\n;&rВы желаете, чтобы ваши раны перестали так сильно КРОВОТОЧИТЬ!&0\r\n
&yClass&0: &g;&yКласс&0: &g
&yTip: %s&0\r\n;&yПодсказка: %s&0\r\n
&yYou have %d ability point%s to spend. Type 'skill %s' to see %s.&0\r\n;&yВы можете потратить %d очков умений. Наберите 'skill %s' чтобы увидеть %s.&0\r\n
&yYou have earned a free skill reset in %s. Type 'skill reset %s' to use it.&0\r\n;&yВы получили свободный сброс навыков для %s. Наберите 'skill reset %s' чтобы использовать его.&0\r\n
&yYou improve your %s skill to %d.&0\r\n;&yВы улучшили ваш навык %s на %d.&0\r\n
&yYour %s skill drops to %d.&0\r\n;&yВаш навык %s упал до %d.&0\r\n
&yYour daily quests and bonus experience have reset!&0\r\n;&yВаши ежедневные задания и бонусные очки опыта были сброшены!&0\r\n
%2d. %s: %d items\r\n;%2d. %s: %d вещи\r\n
%6d abilities        %6d factions\r\n;%6d способности      %6d фракций\r\n
%6d accounts logged in this week\r\n;%6d аккаунтов входивших в игру на этой неделе\r\n
%6d adventures       %6d total rooms\r\n;%6d приключений      %6d общего количества комнат\r\n
%6d archetypes       %6d books\r\n;%6d архетипов        %6d книг\r\n
%6d buildings        %6d room templates\r\n;%6d зданий           %6d шаблонов комнат\r\n
%6d classes          %6d skills\r\n;%6d классов          %6d навыков\r\n
%6d craft recipes    %6d quests\r\n;%6d рецептов         %6d заданий\r\n
%6d empires          %6d active\r\n;%6d империй          %6d активных\r\n
%6d globals          %6d morphs\r\n;%6d глобальных       %6d морфов\r\n
%6d large bufs       %6d buf switches\r\n;%6d large bufs       %6d buf switches\r\n
%6d mobiles          %6d prototypes\r\n;%6d мобов            %6d прототипов\r\n
%6d objects          %6d prototypes\r\n;%6d объектов         %6d прототипов\r\n
%6d overflows\r\n;%6d переполнений\r\n
%6d player accounts  %6d active accounts\r\n;%6d аккаунтов игроков%6d активных аккаунтов\r\n
%6d players in game  %6d connected\r\n;%6d игроков в игре   %6d подсоединено\r\n
%6d registered       %6d at menus\r\n;%6d зарегистрировано %6d в меню\r\n
%6d sectors          %6d crops\r\n;%6d секторов         %6d сельхозкультур\r\n
%6d socials\r\n;%6d социалов\r\n
%6d triggers         %6d prototypes\r\n;%6d триггеров        %6d прототипов\r\n
%6d vehicles         %6d prototypes\r\n;%6d транспорта       %6d прототипов\r\n
%d building%s/room%s updated.\r\n;%d зданий/комнат обновлено.\r\n
%d instance%s of '%s' deleted.\r\n;%d экземпляров '%s' удалено.\r\n
%d live buildings changed.\r\n;%d жилых зданий изменено.\r\n
%d live crops destroyed.\r\n;%d выращиваемых сельхозкультур уничтожено.\r\n
%d live instances removed.\r\n;%d удалено активных экземпляров.\r\n
%d live rooms deleted.\r\n;%d жилых комнат удалено.\r\n
%d live sectors changed.\r\n;%d жилых секторов изменено.\r\n
%d minutes remaining to reclaim this acre.\r\n;%d минут, оставшихся для присвоения этого акра.\r\n
%d of your auctions %s expired.\r\n;%d of your auctions %s expired.\r\n
%d. (%*d, %*d) %s, on %s (%s/%d), traits: %s%s\r\n;%d. (%*d, %*d) %s, по %s (%s/%d), признаки: %s%s\r\n
%s - %s (%d seconds left)\r\n;%s - %s (%d секунд осталось)\r\n
%s -> %s: no relations\r\n;%s -> %s: нет отношений\r\n
%s , QUEST_NAME(qst)// followed by Quest Tracker:;%s , QUEST_NAME(qst)// followed by Quest Tracker:
%s %d already exists.\r\n;%s %d уже существует.\r\n
%s %d more (%s);%s %d еще (%s)
%s %d more %s point%s;%s %d еще %s очков
%s %d more of %s;%s %d больше %s
%s %d more unit%s of %s;%s %d еще единиц %s
%s %sapproved.\r\n;%s %sодобрено.\r\n
%s <item> <renew | superior>\r\n;%s <item> <renew | superior>\r\n
%s abandoned.\r\n;%s покинуто.\r\n
%s already sitting %s it.\r\n;%s уже сидит тут.\r\n
%s at menu\r\n;%s в меню\r\n
%s cannot go above %d.\r\n;%s не может идти выше %d.\r\n
%s cities (%d/%d city point%s):\r\n;%s города (%d/%d очков городов):\r\n
%s has no docks (docks must not be set no-work).\r\n;%s не имеет доков (доки должны функционировать).\r\n
%s has not completed any quests.\r\n;%s не выполнено ни одного задания.\r\n
%s is ignoring: \r\n;%s игнорируется: \r\n
%s is not a valid floating point number.\r\n;%s is not a valid floating point number.\r\n
%s is not assigned to this skill.\r\n;%s не присваивается этому навыку.\r\n
%s is not on a quest called '%s'.\r\n;%s на на задании под названием '%s'.\r\n
%s is not on any quests.\r\n;%s не находится ни на одном задании.\r\n
%s is not on that quest.\r\n;%s не находится на этом задании.\r\n
%s is on the following channels with you:\r\n;%s находится на следующих каналах с вами:\r\n
%s is on the following slash-channels:\r\n;%s is on the following slash-channels:\r\n
%s is using:\r\n;%s использует:\r\n
%s message removed.\r\n, social_message_types[msg][0];%s сообщение удалено.\r\n, social_message_types[msg][0]
%s no longer %ss '%s'.\r\n;%s больше не %ss '%s'.\r\n
%s no longer requires a prerequisite.\r\n;%s больше не требует предварительной подготовки.\r\n
%s none\r\n;%s никто\r\n
%s not confirmed\r\n;%s не подтверждено\r\n
%s now %ss '%s' costing %s%.1f, when %s %d.\r\n;%s теперь %ss '%s' стоимость %s%.1f, когда %s %d.\r\n
%s now requires the %s ability.\r\n;%s теперь требует способности %s.\r\n
%s saved.\r\n;%s сохранено.\r\n
%s: added %s.\r\n;%s: добавлено %s.\r\n
%s: not set\r\n;%s: не установлено\r\n
%s: removed %s.\r\n;%s: удалено %s.\r\n
%s: set to \%s\, from \%s\.\r\n;%s: установлено в \%s\ из \%s\.\r\n
%s: set to %d, from %d.\r\n;%s: установлено в %d из %d.\r\n
%s: set to %f, from %f.\r\n;%s: установлено в %f из %f.\r\n
%s: set to %s, from %s.\r\n;%s: установлено в %s из %s.\r\n
%s' isn't a direction you can %s.\r\n;%s' это не то направление, которое вы можете %s.\r\n
%s\r\nClass: %s%s (%s)\t0 %d/%d/%d\r\n;%s\r\nКласс: %s%s (%s)\t0 %d/%d/%d\r\n
%s%s\t0 (%d/%d task%s)\r\n;%s%s\t0 (%d/%d задач)\r\n
%s%s\t0 (not on quest)\r\n;%s%s\t0 (не на задании)\r\n
%s%s&0 offers;%s%s&0 предложения
%s%s&0%s, led by %s\r\n;%s%s&0%s, во главе с %s\r\n
%sAll of:\r\n;%sВсе:\r\n
%sie whom?\r\n;%sie whom?\r\n
%stake whom?\r\n;%stake whom?\r\n
%sYou %s %d reputation with %s.\t0\r\n;%sВы %s %d репутацию с %s.\t0\r\n
%sYou are now %s with %s.\t0\r\n;%sВы теперь %s с %s.\t0\r\n
A fiery phoenix erupts from your chest and restores you to your feet!\r\n;Огненный феникс извергается из вашей груди и восстанавливает вас!\r\n
A fish darts past you, but you narrowly miss it!\r\n;Рыба бросается мимо вас и вы упускаете ее!\r\n
A fish darts past you...\r\n;Рыба бросается мимо вас...\r\n
A pigeon is circling overhead with mail for you.\r\n;Голубь с письмом кружит над вашей головой.\r\n
A pigeon lands and you find %d letter%s attached to its leg.\r\n;Голубь сел на землю и вы нашли пиьмо %d, прикрепленное к его ноге.\r\n
A strange force lifts you up from the ground, and you seem to float back to your feet...\r\n;Странная сила поднимает вас с земли и вы снова встаете на ноги.\r\n
Abilities on cooldown:\r\n;Задержки способностей:\r\n
Ability %d deleted.\r\n;Способность %d удалена.\r\n
Ability: &y%s&0, Level: &g%d&0;Способность: &y%s&0, Уровень: &g%d&0
Access Level: [&c%d&0], Class: [&c%s&0/&c%s&0], Skill Level: [&c%d&0], Gear Level: [&c%d&0], Total: [&c%d&0]\r\n;Уровень допуска: [&c%d&0], Класс: [&c%s&0/&c%s&0], Уровень навыка: [&c%d&0], Уровень экипировки: [&c%d&0], Общий уровень: [&c%d&0]\r\n
Account characters:\r\n;Персонажи аккаунта:\r\n
Account: [%d], Flags: &g%s&0\r\n;Аккаунт: [%d], Флаги: &g%s&0\r\n
Add the ability at what level?\r\n;Добавить способность на каком уровне?\r\n
Add what ability?\r\n;Какую способность добавить?\r\n
Add which ability?\r\n;Какую способность добавить?\r\n
Adds %+d damage.\r\n;Добавляет %+d урона.\r\n
Adds %d wealth when stored.\r\n;Добавляет %d богатства при хранении.\r\n
Adds inventory space: %d\r\n;Увеличивает пространство инвентаря: %d\r\n
Adjective form: %s\r\n;Прилагательная форма: %s\r\n
Adjective names are limited to %d characters.\r\n;Прилагательные имена ограничены %d символами.\r\n
Admin notes for %s:\r\n%s;Заметки администратора для %s:\r\n%s
Adventure zone %d deleted.\r\n;Приключенческая зона %d удалена.\r\n
Adventure: [&c%d %s&0]\r\n;Приключение: [&c%d %s&0]\r\n
AFF: &c%s&0\r\n;AFF: &c%s&0\r\n
Affects: &g%s&0\r\n;Аффекты: &g%s&0\r\n
Affects: %s\r\n;Аффекты: %s\r\n
Affects:\r\n;Аффекты:\r\n
Alas, you cannot go that way...\r\n;Увы, вы не можете идти по туда...\r\n
Alias: &y%s&0, VNum: [&c%5d&0]\r\n;Alias: &y%s&0, VNum: [&c%5d&0]\r\n
All commands appear to have help files (but some may just be abbreviations).\r\n;У всех команд должны быть файлы справки (но некоторые команды могут быть просто сокращены).\r\n
All customizations removed on this room/acre.\r\n;Все персонализации для этой комнаты/акра удалены.\r\n
All public status for this empire's buildings has been renounced.\r\n;Публичный статус для всех зданий этой империи убран.\r\n
All resources removed.\r\n;Все ресурсы удалены.\r\n
All triggers removed from %s.\r\n;Все триггеры удалены с %s.\r\n
All triggers removed from room.\r\n;С комнаты удалены все триггеры.\r\n
Amount: %s\r\n;Количество: %s\r\n
An exit already exists in that direction in the target room.\r\n;В целевой комнате уже есть выход в этом направлении.\r\n
An exit already exists in that direction.\r\n;В этом направлении уже есть выход.\r\n
An instance is already linked here.\r\n;Экземпляр уже привязан здесь.\r\n
any;любой
any more;больше
Apply %d changed to %s.\r\n;Apply %d changed to %s.\r\n
Apply %d changed to value %+d.\r\n;Apply %d changed to value %+d.\r\n
Apply %d changed to value %d.\r\n;Apply %d changed to value %d.\r\n
Archetype %d deleted.\r\n;Архетип %d удален.\r\n
Archetypes:;Архетипы:
Archetypes:\r\n;Архетипы:\r\n
Aren't you already the leader.\r\n;Вы уже лидер.\r\n
Armor type: %s\r\n;Тип брони: %s\r\n
Arrow type: %c\r\n;Тип стрел: %c\r\n
Arrowtype must by a letter from A to Z.\r\n;Тип стрелы должна быть буква от A до Z.\r\n
As an NPC, you have no skills.\r\n;Как у НПС у вас нет навыков.\r\n
As you chant, a mighty tree springs from the ground!\r\n;Во время вашей песни, из земли вырастает мощное дерево!\r\n
As you chant, the plants around you grow with amazing speed!\r\n;Во время вашей песни, растения вокруг начинают расти с поразительной скоростью!\r\n
As you finish the chant, the road is cloaked in illusion!\r\n;Когда вы заканчиваете петь, дорога скрывается в иллюзии!\r\n
At this exchange rate, that many coins wouldn't be worth anything.\r\n;При таком обменном курсе многие монеты ничего не будут стоить.\r\n
attribute <copy> <archetype vnum>\r\n;attribute <copy> <archetype vnum>\r\n
Attributes copied from archetype [%d] %s.\r\n;Признаки скопированы с архетипа [%d] %s.\r\n
Augment %d deleted.\r\n;Зачарование %d удалено.\r\n
Augments:\r\n;Зачарования:\r\n
Available applies:\r\n;Доступные прибавки:\r\n
Available class roles:\r\n%s%s;Доступные классовые роли:\r\n%s%s
Available daily bonus experience points: %d\r\n, GET_DAILY_BONUS_EXPERIENCE(vict);Доступные бонусные ежедневные очки опыта: %d\r\n, GET_DAILY_BONUS_EXPERIENCE(vict)
Available eedit commands:;Доступные eedit команды:
Available flags:\r\n;Доступные флаги:\r\n
Available group options: invite, join, kick, leave, leader\r\n;Доступные групповые опции: invite, join, kick, leave, leader\r\n
Available options:;Доступные опции:
Available reputation levels:\r\n;Доступные уровни репутации:\r\n
Available types:\r\n;Доступные типы:\r\n
Average result: %.2f\r\n;Средний результат: %.2f\r\n
Bad coordinates (%d, %d).\r\n;Плохие координаты (%d, %d).\r\n
Base affects: &g%s&0\r\n;Основные аффекты: &g%s&0\r\n
Besiege which direction or vehicle?\r\n;Осаждать какое направление или транспортное средство?\r\n
Bite whom?\r\n;Укусить кого?\r\n
Block percent: %.2f%% (%d/%d)\r\n;Block percent: %.2f%% (%d/%d)\r\n
BONUS: &c%s&0\r\n;BONUS: &c%s&0\r\n
Book %d deleted.\r\n;Book %d deleted.\r\n
Book bylines may not be more than %d characters long.\r\n;Book bylines may not be more than %d characters long.\r\n
Book item names may not be more than %d characters long.\r\n;Book item names may not be more than %d characters long.\r\n
Book item names may not contain color codes.\r\n;Book item names may not contain color codes.\r\n
Book item names may not contain the following characters: %%()[]\\\r\n;Book item names may not contain the following characters: %%()[]\\\r\n
Book item names must contain a word like 'book' or 'tome'. See HELP BOOKEDIT ITEM.\r\n;Book item names must contain a word like 'book' or 'tome'. See HELP BOOKEDIT ITEM.\r\n
Book titles may not be more than %d characters long.\r\n;Book titles may not be more than %d characters long.\r\n
Book: %d - %s\r\n;Book: %d - %s\r\n
Bound to:;Bound to:
Build facing: &c%s&0\r\n;Build facing: &c%s&0\r\n
Build facing: %s\r\n;Build facing: %s\r\n
Build flags: &g%s&0\r\n;Build flags: &g%s&0\r\n
build info <structure>\r\n;build info <structure>\r\n
Build it facing which direction?\r\n;Build it facing which direction?\r\n
Build on: &g%s&0\r\n;Build on: &g%s&0\r\n
Build on: %s\r\n;Build on: %s\r\n
Build which building vnum?\r\n;Build which building vnum?\r\n
Building %d deleted.\r\n;Building %d deleted.\r\n
Building flags: &c%s&0\r\n;Building flags: &c%s&0\r\n
Building VNum: [&c%d&0], Name: '&c%s&0'\r\n;Building VNum: [&c%d&0], Name: '&c%s&0'\r\n
Buildings:\r\n;Buildings:\r\n
Builds: [&c%d&0] %s\r\n;Builds: [&c%d&0] %s\r\n
Builds: %s\r\n;Builds: %s\r\n
Burn which book? (Use 'library browse' to see a list.)\r\n;Burn which book? (Use 'library browse' to see a list.)\r\n
Burning: %d, Damage: %d/%d\r\n;Burning: %d, Damage: %d/%d\r\n
But it's already your home!\r\n;But it's already your home!\r\n
But nothing happens.\r\n;But nothing happens.\r\n
But you are not a member of a group!\r\n;But you are not a member of a group!\r\n
But you are not part of a group.\r\n;But you are not part of a group.\r\n
But you aren't a part of a group!\r\n;But you aren't a part of a group!\r\n
But you aren't part of a group!\r\n;But you aren't part of a group!\r\n
But you can't seem to escape from here...\r\n;But you can't seem to escape from here...\r\n
Can be worn on: &g%s&0\r\n;Can be worn on: &g%s&0\r\n
Can be worn on: %s\r\n;Can be worn on: %s\r\n
Cancel which shipment?\r\n;Cancel which shipment?\r\n
Capacity: [&g%d-%d normal, %d-%d deep&0], Sector Flags: &c%s&0, Exclude: &c%s&0\r\n;Capacity: [&g%d-%d normal, %d-%d deep&0], Sector Flags: &c%s&0, Exclude: &c%s&0\r\n
Cascade levels for which adventure?\r\n;Cascade levels for which adventure?\r\n
Change it to which vnum?\r\n;Change it to which vnum?\r\n
Change the exclusion code to what (or 'none')?\r\n;Change the exclusion code to what (or 'none')?\r\n
Change the keywords to what (or 'none' to have no door)?\r\n;Change the keywords to what (or 'none' to have no door)?\r\n
Change the keywords to what?\r\n;Change the keywords to what?\r\n
Change the leader to whom?\r\n;Change the leader to whom?\r\n
Change the percent to what?\r\n;Change the percent to what?\r\n
Change which ability?\r\n;Change which ability?\r\n
Changed '%s' %d to: %s\r\n;Changed '%s' %d to: %s\r\n
Changed %s %d to: %s\r\n;Changed %s %d to: %s\r\n
Changed reward %d to: %s\r\n;Changed reward %d to: %s\r\n
Charges remaining: %d\r\n;Charges remaining: %d\r\n
Charmed NPCs cannot pick items up.\r\n;Charmed NPCs cannot pick items up.\r\n
Check out which book? (Use 'library browse' to see a list.)\r\n;Check out which book? (Use 'library browse' to see a list.)\r\n
Chip what?\r\n;Chip what?\r\n
Circle which direction?\r\n;Circle which direction?\r\n
Citizens: [&g%d&0], Military: [&g%d&0]%s\r\n;Citizens: [&g%d&0], Military: [&g%d&0]%s\r\n
City names may not contain color codes.\r\n;City names may not contain color codes.\r\n
City names may not include quotation marks (\).\r\n;City names may not include quotation marks (\).\r\n
City names may not include the percent sign (%%).\r\n;City names may not include the percent sign (%%).\r\n
Class %d deleted.\r\n;Class %d deleted.\r\n
Class abbreviations may not contain color codes.\r\n;Class abbreviations may not contain color codes.\r\n
Class abbreviations must be 4 letters.\r\n;Class abbreviations must be 4 letters.\r\n
Class: %d %s (%s%s\t0)\r\n;Class: %d %s (%s%s\t0)\r\n
Climate: &g%s&0\r\n;Climate: &g%s&0\r\n
Climate: &g%s&0\r\n;Climate: &g%s&0\r\n
Close your text editor (\ty,/h\t0) before aborting the book editor.\r\n;Close your text editor (\ty,/h\t0) before aborting the book editor.\r\n
Close your text editor (\ty,/h\t0) before saving the book.\r\n;Close your text editor (\ty,/h\t0) before saving the book.\r\n
Close your text editor (&y,/h&0) before aborting an olc editor.\r\n;Close your text editor (&y,/h&0) before aborting an olc editor.\r\n
Close your text editor (&y,/h&0) before saving an olc editor.\r\n;Close your text editor (&y,/h&0) before saving an olc editor.\r\n
Coins: %s\r\n;Coins: %s\r\n
Collapse which portal?\r\n;Collapse which portal?\r\n
color_code_length: %d\r\n;color_code_length: %d\r\n
color_strlen: %d\r\n;color_strlen: %d\r\n
Combine what?\r\n;Combine what?\r\n
Command list: &c%s&0\r\n;Command list: &c%s&0\r\n
Commands: &c%s&0\r\n;Commands: &c%s&0\r\n
Common sites:\r\n;Common sites:\r\n
Complete.\r\n;Complete.\r\n
Consider whom?\r\n;Consider whom?\r\n
Contains %d units of %s.\r\n;Contains %d units of %s.\r\n
Contains %s\r\n;Contains %s\r\n
Contains: %d/%d drinks of %s\r\n;Contains: %d/%d drinks of %s\r\n
Cooldowns:;Cooldowns:
Copied '%s' from %s %d.\r\n;Copied '%s' from %s %d.\r\n
Copied %s from %s %d.\r\n;Copied %s from %s %d.\r\n
Copied rewards from %s %d.\r\n;Copied rewards from %s %d.\r\n
Copy from the 'starts' or 'ends' list?\r\n;Copy from the 'starts' or 'ends' list?\r\n
Copy from the 'tasks' or 'prereqs' list?\r\n;Copy from the 'tasks' or 'prereqs' list?\r\n
Copy from which %s?\r\n;Copy from which %s?\r\n
Copy icons from which %s?\r\n;Copy icons from which %s?\r\n
Copy interactions from which %s?\r\n;Copy interactions from which %s?\r\n
Copy scripts from which %s?\r\n;Copy scripts from which %s?\r\n
Copy spawns from which %s?\r\n;Copy spawns from which %s?\r\n
Corpse of;Corpse of
Cost must be a number, '%s' given.\r\n;Cost must be a number, '%s' given.\r\n
Cost to declare war on this empire: %d coin%s\r\n;Cost to declare war on this empire: %d coin%s\r\n
Couldn't find anything to remove.\r\n;Couldn't find anything to remove.\r\n
Craft recipe %d deleted.\r\n;Craft recipe %d deleted.\r\n
Crafts:\r\n;Crafts:\r\n
Created from host: [%s]\r\n;Created from host: [%s]\r\n
Created: [%s, %s], Played [%dh %dm], Age [%d]\r\n;Created: [%s, %s], Played [%dh %dm], Age [%d]\r\n
Created: %-24.24s\r\n;Created: %-24.24s\r\n
Creates liquid: %d unit%s of %s\r\n;Creates liquid: %d unit%s of %s\r\n
Creates Quantity: [&g%d&0], Item: [&c%d&0] %s\r\n;Creates Quantity: [&g%d&0], Item: [&c%d&0] %s\r\n
Creates Vehicle: [&c%d&0] %s\r\n;Creates Vehicle: [&c%d&0] %s\r\n
Creates vehicle: %s\r\n;Creates vehicle: %s\r\n
Creates Volume: [&g%d drink%s&0], Liquid: [&g%d&0] %s\r\n;Creates Volume: [&g%d drink%s&0], Liquid: [&g%d&0] %s\r\n
Creates: %dx %s%s%s\r\n;Creates: %dx %s%s%s\r\n
Creates: %s%s%s\r\n;Creates: %s%s%s\r\n
Crop %d deleted.\r\n;Crop %d deleted.\r\n
Crop flags: &g%s&0\r\n;Crop flags: &g%s&0\r\n
Crop VNum: [&c%d&0], Name: '&c%s&0'\r\n;Crop VNum: [&c%d&0], Name: '&c%s&0'\r\n
Crops:\r\n;Crops:\r\n
Current %s: %s\r\n;Current %s: %s\r\n
Current map size: %d\r\n;Current map size: %d\r\n
Current privilege levels:\r\n;Current privilege levels:\r\n
Current ranks:\r\n;Current ranks:\r\n
Current stats:\r\n;Current stats:\r\n
Current uptime: Up since %s: %d day%s, %d:%02d\r\n;Current uptime: Up since %s: %d day%s, %d:%02d\r\n
Custom message %d changed to type %s.\r\n;Custom message %d changed to type %s.\r\n
Custom message %d changed to: %s\r\n;Custom message %d changed to: %s\r\n
Custom messages:\r\n;Custom messages:\r\n
Custom:&y%s%s%s&0\r\n;Custom:&y%s%s%s&0\r\n
Damage dealt: %d (%.2f dps)\r\n;Damage dealt: %d (%.2f dps)\r\n
Damage meters:\r\n;Damage meters:\r\n
Damage taken: %d (%.2f dps)\r\n;Damage taken: %d (%.2f dps)\r\n
Damage type is %s.\r\n;Damage type is %s.\r\n
Damage type: %s\r\n;Damage type: %s\r\n
Damage: %+d\r\n;Damage: %+d\r\n
Damage: %d (%s+%.2f base dps)\r\n;Damage: %d (%s+%.2f base dps)\r\n
Damage: %d\r\n;Damage: %d\r\n
Dedicate this building to whom?\r\n;Dedicate this building to whom?\r\n
Default rank names may not contain a quotation mark (\).\r\n;Default rank names may not contain a quotation mark (\).\r\n
Default ranks may not contain a percent sign (%%).\r\n;Default ranks may not contain a percent sign (%%).\r\n
Default ranks may not contain color codes.\r\n;Default ranks may not contain color codes.\r\n
Defect timer forgiven.\r\n;Defect timer forgiven.\r\n
Delete the exit in which direction?\r\n;Delete the exit in which direction?\r\n
Delete which %s (vnum)?\r\n;Delete which %s (vnum)?\r\n
Deleted paragraph %d.\r\n;Deleted paragraph %d.\r\n
Deleted.\r\n;Deleted.\r\n
Demote whom?\r\n;Demote whom?\r\n
Description:\r\n%s;Description:\r\n%s
Designate flags: &c%s&0\r\n;Designate flags: &c%s&0\r\n
Designated rooms: %d\r\n;Designated rooms: %d\r\n
Detail is not implemented for that config.\r\n;Detail is not implemented for that config.\r\n
Diminished value: %.2f\r\n;Diminished value: %.2f\r\n
diplomacy cancel <option> <empire>\r\n;diplomacy cancel <option> <empire>\r\n
Diplomatic relations:\r\n;Diplomatic relations:\r\n
Disarm whom?\r\n;Disarm whom?\r\n
Disenchant what?\r\n;Disenchant what?\r\n
Disguise yourself as whom?\r\n;Disguise yourself as whom?\r\n
Disguised as: %s\r\n;Disguised as: %s\r\n
Dismantle is only used to dismantle buildings. Just type 'dismantle'. (You get this error if you typed an argument.)\r\n;Dismantle is only used to dismantle buildings. Just type 'dismantle'. (You get this error if you typed an argument.)\r\n
Dismiss whom?\r\n;Dismiss whom?\r\n
Dispatch which ship to which island?\r\n;Dispatch which ship to which island?\r\n
Display what?\r\n;Display what?\r\n
Distance to (%d, %d): %d tiles %s.\r\n;Distance to (%d, %d): %d tiles %s.\r\n
Dodge percent: %.2f%% (%d/%d)\r\n;Dodge percent: %.2f%% (%d/%d)\r\n
Done.\r\n;Done.\r\n
Drag what, in which direction?\r\n;Drag what, in which direction?\r\n
Drain how much blood?\r\n;Drain how much blood?\r\n
Draw what?\r\n;Draw what?\r\n
drink;drink
Drink from what?\r\n;Drink from what?\r\n
Drop which quest?\r\n;Drop which quest?\r\n
Edit notes for whom?\r\n;Edit notes for whom?\r\n
Edit which %s (vnum)?\r\n;Edit which %s (vnum)?\r\n
Edit which paragraph number?\r\n;Edit which paragraph number?\r\n
Editing is not implemented for that config.\r\n;Editing is not implemented for that config.\r\n
Empire adjective forms may not contain color codes or ampersands. Set the banner instead.\r\n;Empire adjective forms may not contain color codes or ampersands. Set the banner instead.\r\n
Empire adjective forms may not contain the percent sign (%%).\r\n;Empire adjective forms may not contain the percent sign (%%).\r\n
Empire deleted.\r\n;Empire deleted.\r\n
Empire names may not contain a quotation mark (\).\r\n;Empire names may not contain a quotation mark (\).\r\n
Empire names may not contain color codes or ampersands. Set the banner instead.\r\n;Empire names may not contain color codes or ampersands. Set the banner instead.\r\n
Empire names may not contain the percent sign (%%).\r\n;Empire names may not contain the percent sign (%%).\r\n
